order_time, settle_time, hold_time, algorithm, side, profit
2018-06-27 10:00:00,2018-06-27 17:04:10,25450.0,# in  Algorithm,sell,0.5049999999999955
2018-06-27 18:00:00,2018-06-27 20:45:40,9940.0,# in  Algorithm,sell,-0.5360000000000014
2018-06-27 21:00:00,2018-06-28 02:52:50,21170.0,# in  Algorithm,sell,0.5010000000000048
2018-06-28 05:00:00,2018-06-28 21:09:40,58180.0,# in  Algorithm,sell,0.5150000000000148
2018-06-28 23:00:00,2018-06-29 11:37:10,45430.0,# in  Algorithm,sell,-0.5099999999999909
2018-06-29 14:00:00,2018-06-29 17:30:20,12620.0,# in  Algorithm,sell,-0.5260000000000105
2018-06-29 20:00:00,2018-06-29 23:32:50,12770.0,# in  Algorithm,sell,-0.5099999999999909
2018-06-30 03:00:00,2018-06-30 05:00:00,7200.0,# in  Algorithm,sell,0.034000000000020236
2018-07-03 12:00:00,2018-07-03 16:01:10,14470.0,# in  Algorithm,sell,-0.5060000000000002
2018-07-03 22:00:00,2018-07-04 01:52:40,13960.0,# in  Algorithm,sell,0.5100000000000193
2018-07-04 02:00:00,2018-07-04 19:20:40,62440.0,# in  Algorithm,sell,-0.5039999999999907
2018-07-04 20:00:00,2018-07-05 16:08:00,72480.0,# in  Algorithm,buy,0.5010000000000048
2018-07-05 18:00:00,2018-07-07 05:00:00,126000.0,# in  Algorithm,buy,0.09899999999998954
2018-07-10 08:00:00,2018-07-10 16:51:00,31860.0,# in  Algorithm,buy,0.5109999999999957
2018-07-10 17:00:00,2018-07-11 07:16:40,51400.0,# in  Algorithm,buy,-0.5080000000000098
2018-07-11 12:00:00,2018-07-12 01:31:50,48710.0,# in  Algorithm,buy,0.5109999999999957
2018-07-12 02:00:00,2018-07-12 16:10:10,51010.0,# in  Algorithm,buy,0.5029999999999859
2018-07-12 17:00:00,2018-07-13 17:15:50,87350.0,# in  Algorithm,buy,-0.5169999999999959
2018-07-13 22:00:00,2018-07-14 00:26:20,8780.0,# in  Algorithm,buy,0.5420000000000016
2018-07-14 01:00:00,2018-07-14 05:00:00,14400.0,# in  Algorithm,buy,0.09999999999999432
2018-07-17 16:00:00,2018-07-17 21:32:30,19950.0,# in  Algorithm,sell,0.5010000000000048
2018-07-17 22:00:00,2018-07-18 02:43:10,16990.0,# in  Algorithm,sell,0.5330000000000155
2018-07-18 03:00:00,2018-07-18 17:30:10,52210.0,# in  Algorithm,sell,0.8610000000000184
2018-07-18 18:00:00,2018-07-19 17:32:00,84720.0,# in  Algorithm,sell,0.5180000000000007
2018-07-19 18:00:00,2018-07-20 02:08:10,29290.0,# in  Algorithm,sell,0.5200000000000102
2018-07-20 03:00:00,2018-07-21 05:00:00,93600.0,# in  Algorithm,sell,-0.13599999999999568
2018-07-24 09:00:00,2018-07-24 10:18:50,4730.0,# in  Algorithm,sell,0.539999999999992
2018-07-24 11:00:00,2018-07-25 01:13:30,51210.0,# in  Algorithm,sell,-0.5060000000000002
2018-07-25 02:00:00,2018-07-27 09:24:40,199480.0,# in  Algorithm,sell,0.5039999999999907
2018-07-27 10:00:00,2018-07-28 05:00:00,68400.0,# in  Algorithm,sell,0.07500000000001705
2018-07-31 10:00:00,2018-07-31 15:32:20,19940.0,# in  Algorithm,buy,0.5310000000000059
2018-07-31 16:00:00,2018-07-31 17:26:10,5170.0,# in  Algorithm,buy,0.5010000000000048
2018-07-31 18:00:00,2018-08-02 12:59:00,154740.0,# in  Algorithm,buy,-0.5010000000000048
2018-08-02 13:00:00,2018-08-02 20:47:00,28020.0,# in  Algorithm,sell,0.5810000000000173
2018-08-02 22:00:00,2018-08-03 22:07:20,86840.0,# in  Algorithm,sell,0.5120000000000005
2018-08-04 00:00:00,2018-08-04 05:00:00,18000.0,# in  Algorithm,sell,0.06299999999998818
